重复组号,重复条数,涉及景点数,评论内容,涉及景点,评论编号列表
1,81,23,景色不错，,《文成公主》大型史诗剧、亚丁村、噶丹松赞林寺、墨石公园景区、大昭寺、巴松措、布达拉宫、康定木格措景区、普达措国家公园、木雅圣地景区、松赞林景区、格萨尔王城、独克宗古城、珠穆朗玛峰、石卡雪山、稻城亚丁、米堆冰川、纳木措景区、羊卓雍错、虎跳峡(香格里拉段)、雅鲁藏布大峡谷、雨崩村、香格里拉巴拉格宗风景名胜区,166739821、166309686、166073023、165227124、164724582、164552510、164411470、164386183、164155848、163918872、163828952、164757355、163613709、164199725、166930104、166782431、166690011、165331961、165095749、165086874、164939243、164747028、164471540、164463782、163719470、166521186、166521202、165998540、164936801、163922817、164975126、166921992、164181439、164532004、165914487、165128633、164242418、166590800、165602341、164649753、164564110、164234719、164040356、163970732、165174110、164659810、164317825、164108595、164937642、164761239、164049863、163835825、164418821、166817539、166663535、166540656、166510099、166318335、165842252、165291273、165196006、165088077、165016017、164852233、164174702、165128634、165042523、164725441、164177323、166597476、166488273、166147668、165397188、164777626、164480452、164427925、164228115、165836181、165511965、165004812、164357780
2,62,24,好好好好好,《文成公主》大型史诗剧、亚拉雪山风景区、南迦巴瓦峰、噶丹松赞林寺、墨石公园景区、奇林峡风景区、小昭寺、巴塘措普沟景区、巴松措、布达拉宫、康定木格措景区、松赞林景区、珠峰大本营、珠峰景区、白水台、石卡雪山、稻城亚丁、索松村、纳木措国家公园、纳木措景区、羊卓雍错、虎跳峡(香格里拉段)、雅鲁藏布大峡谷、香格里拉巴拉格宗风景名胜区,174802070、821690255、776871901、766313633、202033812、790126933、180295621、180295613、176852852、174715966、671014303、238104231、216482155、772316700、648890607、219107498、797740749、797740644、797740350、797740266、797740525、205086687、645064498、194373236、188506648、187285715、181798842、212724814、230461043、219636964、215448549、209418252、174802054、646911224、815075766、777037752、221575075、221554992、218826749、218251188、217621342、216950504、216201847、206001489、187292456、705235609、687277627、180618846、180584866、176053611、233204259、217535634、814592465、703835084、686399281、676644424、199618546、178561601、216482141、224789839、787591470、699049163
3,36,1,去西藏并不是为了所谓的净化心灵，只是为了在漫长的旅途慢慢地呼吸，感受时光，与自己对话。非常非常非常好的体验，珠峰再也不是课本里面的珠峰了,珠峰大本营,215752559、215753203、215753175、215753133、215753070、215753028、215752972、215752958、215752923、215752888、215752839、215752790、215752762、215752727、215752692、215752657、215752615、215752573、215752538、215752489、215752468、215752433、215752398、215752328、215752300、215752279、215752237、215752202、215752174、215752139、215752104、215752076、215751922、215751880、215752993、215752384
4,35,17,非常值得去,《文成公主》大型史诗剧、南迦巴瓦峰、噶丹松赞林寺、大昭寺、巴塘措普沟景区、巴松措、巴松措休闲水上运动中心、康定木格措景区、普达措国家公园、来古冰川、松赞林景区、珠峰景区、纳木措景区、羊卓雍错、虎跳峡(香格里拉段)、西藏非物质文化遗产博物馆、香格里拉巴拉格宗风景名胜区,802637879、238834331、216575633、215077402、168821397、166696122、772430408、223513403、222350577、199307823、189670930、181769324、234351433、234351391、218005999、215797863、203208377、698958240、802634918、164178231、634226006、215522952、220754878、210760173、209834997、647923760、226323812、226278851、170815550、169868989、790053335、667968414、221099642、817297902、748785059
5,35,11,值得推荐，,《文成公主》大型史诗剧、亚丁村、噶丹松赞林寺、大昭寺、布达拉宫、普达措国家公园、松赞林景区、滇金丝猴国家公园、石卡雪山、羊卓雍错、香格里拉巴拉格宗风景名胜区,164133336、164012637、164840856、164239256、163629860、164181450、164018734、164532915、164386177、164274393、164237696、164158676、164089421、163674760、164747047、164556154、164558844、163908208、164737402、164716377、164532678、164516090、164353389、164255252、164206400、164153231、163999952、163905890、163903531、164809276、164442256、220091215、164740187、164740192、164695940
6,34,1,很不错，值得信赖，公司多次组织来旅游一直都会来这里的，很不错。每次也都会通过携程平台来下单，很方便快捷的特别是名单录入后。,纳木措景区,191799994、191799987、191799966、191799959、191799938、191799917、191799903、191799896、191799882、191799868、191799854、191799224、191799210、191799196、191799168、191799154、191799140、191799091、191799084、191799049、191799035、191799007、191798993、191798979、191798958、191798951、191794156、191467711、191467704、191467697、191467683、191467662、191467620、191467599
7,30,12,景色不错，值得推荐，,亚丁村、噶丹松赞林寺、墨石公园景区、大昭寺、康定木格措景区、普达措国家公园、松赞林景区、纳木措国家公园、纳木措景区、羊卓雍错、苯日景区、香格里拉巴拉格宗风景名胜区,164353486、164213342、164080344、164431353、164412524、164763718、164037460、164119641、164085167、163597058、164516302、164503619、164151959、164085183、164082722、164024736、163658586、164194105、164131831、164039961、164460116、164204851、164029016、163877890、164672767、164442978、164810869、163690956、163600891、163610348
8,29,13,***,《文成公主》大型史诗剧、噶丹松赞林寺、大昭寺、巴松措、布达拉宫、康定木格措景区、松赞林景区、石卡雪山、纳木措国家公园、纳木措景区、羊卓雍错、虎跳峡(香格里拉段)、香格里拉巴拉格宗风景名胜区,161928454、162359694、167553347、171868099、167059359、163569847、171087615、164603727、163282055、172055888、166565348、164810732、164579527、164317154、161736000、167334833、167334840、168413434、167976861、167783880、167784681、166680450、166680458、166614654、162471063、162030570、167923390、164603751、162506054
9,28,9,总体超赞，,《文成公主》大型史诗剧、南迦巴瓦峰、噶丹松赞林寺、大昭寺、巴塘措普沟景区、拉萨日多温泉山庄、石卡雪山、羊卓雍错、蓝色天国羊八井地热旅游区,166058529、166784429、166456116、166550180、166307865、166914016、166921638、166889933、166699334、166680307、166643061、166624391、166393469、166369053、166305678、166140589、166127566、166127580、166052718、165590700、165315715、164993190、166503808、166478270、166393926、166176827、166914021、164931053
10,25,1,久问世界之巅 远不及亲眼去见一面，经过了108拐 吹过了5200米的风 当我站在珠穆朗玛峰的脚下，这一刻朱峰不再是语文课本上的朱峰 而是我眼前的朱峰,珠峰大本营,213428965、213428916、213428811、213428776、213428706、213428685、213428580、213428566、213428496、213428482、213428041、213427985、213427957、213427747、213427684、213427635、213427607、213427551、213427460、213427901、213428930、213428734、213428622、213428587、213428531
