景点名称,URL,失败原因
贡嘎错,https://you.ctrip.com/sight/lhozhag120411/144453341.html,未取到 poiId（无点评或页面无评论模块）
哲古湖,https://you.ctrip.com/sight/qonggyai2439/150023123.html,未取到 poiId（无点评或页面无评论模块）
强钦庄园,https://you.ctrip.com/sight/qonggyai2439/148886203.html,未取到 poiId（无点评或页面无评论模块）
扎西曲登寺,https://you.ctrip.com/sight/shannan339/144196484.html,未取到 poiId（无点评或页面无评论模块）
松赞林景区,https://you.ctrip.com/sight/shangrila106/4206.html,已获取 poiId 但未采集到评论
炯拉措景区,https://you.ctrip.com/sight/banbar120406/153430403.html,未取到 poiId（无点评或页面无评论模块）
打弄冰川,https://you.ctrip.com/sight/basu120403/144473271.html,未取到 poiId（无点评或页面无评论模块）
邦达草原观景点,https://you.ctrip.com/sight/basu120403/148569464.html,未取到 poiId（无点评或页面无评论模块）
丁青寺,https://you.ctrip.com/sight/dengqen2447/1940080.html,未取到 poiId（无点评或页面无评论模块）
香格里拉巴拉格宗风景名胜区,https://you.ctrip.com/sight/shangrila106/4213.html,已获取 poiId 但未采集到评论
澜沧江,https://you.ctrip.com/sight/markam2452/145127661.html,未取到 poiId（无点评或页面无评论模块）
噶丹松赞林寺,https://you.ctrip.com/sight/shangrila106/140686.html,已获取 poiId 但未采集到评论
千年水磨石景区,https://you.ctrip.com/sight/zayu120394/145381062.html,未取到 poiId（无点评或页面无评论模块）
哲古草原,https://you.ctrip.com/sight/comai120410/133528065.html,未取到 poiId（无点评或页面无评论模块）
红拉山,https://you.ctrip.com/sight/markam2452/153333223.html,未取到 poiId（无点评或页面无评论模块）
墨石公园景区,https://you.ctrip.com/sight/daofu1446234/1416437.html,已获取 poiId 但未采集到评论
定结湿地公园,https://you.ctrip.com/sight/dinggye120378/140866538.html,未取到 poiId（无点评或页面无评论模块）
西林观景台,https://you.ctrip.com/sight/dinggye120378/145241144.html,未取到 poiId（无点评或页面无评论模块）
定结县湿地王国,https://you.ctrip.com/sight/dinggye120378/145616184.html,未取到 poiId（无点评或页面无评论模块）
米拉日巴修行洞,https://you.ctrip.com/sight/nyalamcounty2445/143751065.html,未取到 poiId（无点评或页面无评论模块）
独克宗古城,https://you.ctrip.com/sight/shangrila106/77032.html,已获取 poiId 但未采集到评论
巴塘措普沟景区,https://you.ctrip.com/sight/batang3102/136577.html,已获取 poiId 但未采集到评论
新都桥,https://you.ctrip.com/sight/kangding344/43874.html,已获取 poiId 但未采集到评论
石卡雪山,https://you.ctrip.com/sight/shangrila106/110157.html,已获取 poiId 但未采集到评论
海通石林,https://you.ctrip.com/sight/markam2452/144196734.html,未取到 poiId（无点评或页面无评论模块）
纳帕海(依拉草原),https://you.ctrip.com/sight/shangrila106/4211.html,已获取 poiId 但未采集到评论
白水台,https://you.ctrip.com/sight/shangrila106/4204.html,已获取 poiId 但未采集到评论
牛奶海,https://you.ctrip.com/sight/daochengcounty342/43890.html,已获取 poiId 但未采集到评论
梅里雪山国家公园,https://you.ctrip.com/sight/deqin2178/75423.html,已获取 poiId 但未采集到评论
