# 携程西藏景点清单（1490 个，按点评数降序）
# 格式：景点名,URL
稻城亚丁,https://you.ctrip.com/sight/daochengcounty342/11875.html
普达措国家公园,https://you.ctrip.com/sight/shangrila106/56571.html
贡嘎错,https://you.ctrip.com/sight/lhozhag120411/144453341.html
哲古湖,https://you.ctrip.com/sight/qonggyai2439/150023123.html
强钦庄园,https://you.ctrip.com/sight/qonggyai2439/148886203.html
扎西曲登寺,https://you.ctrip.com/sight/shannan339/144196484.html
松赞林景区,https://you.ctrip.com/sight/shangrila106/4206.html
炯拉措景区,https://you.ctrip.com/sight/banbar120406/153430403.html
打弄冰川,https://you.ctrip.com/sight/basu120403/144473271.html
邦达草原观景点,https://you.ctrip.com/sight/basu120403/148569464.html
丁青寺,https://you.ctrip.com/sight/dengqen2447/1940080.html
香格里拉巴拉格宗风景名胜区,https://you.ctrip.com/sight/shangrila106/4213.html
澜沧江,https://you.ctrip.com/sight/markam2452/145127661.html
噶丹松赞林寺,https://you.ctrip.com/sight/shangrila106/140686.html
千年水磨石景区,https://you.ctrip.com/sight/zayu120394/145381062.html
哲古草原,https://you.ctrip.com/sight/comai120410/133528065.html
红拉山,https://you.ctrip.com/sight/markam2452/153333223.html
墨石公园景区,https://you.ctrip.com/sight/daofu1446234/1416437.html
定结湿地公园,https://you.ctrip.com/sight/dinggye120378/140866538.html
西林观景台,https://you.ctrip.com/sight/dinggye120378/145241144.html
定结县湿地王国,https://you.ctrip.com/sight/dinggye120378/145616184.html
米拉日巴修行洞,https://you.ctrip.com/sight/nyalamcounty2445/143751065.html
独克宗古城,https://you.ctrip.com/sight/shangrila106/77032.html
巴塘措普沟景区,https://you.ctrip.com/sight/batang3102/136577.html
新都桥,https://you.ctrip.com/sight/kangding344/43874.html
石卡雪山,https://you.ctrip.com/sight/shangrila106/110157.html
海通石林,https://you.ctrip.com/sight/markam2452/144196734.html
纳帕海(依拉草原),https://you.ctrip.com/sight/shangrila106/4211.html
白水台,https://you.ctrip.com/sight/shangrila106/4204.html
牛奶海,https://you.ctrip.com/sight/daochengcounty342/43890.html
梅里雪山国家公园,https://you.ctrip.com/sight/deqin2178/75423.html
贡嘎宗遗址,https://you.ctrip.com/sight/gongga120408/143737767.html
西藏嘎朗国家湿地公园,https://you.ctrip.com/sight/bome2436/145162321.html
恰青冰川,https://you.ctrip.com/sight/bome2436/130887114.html
亚丁村,https://you.ctrip.com/sight/daochengcounty342/78233.html
雨崩村,https://you.ctrip.com/sight/deqin2178/75427.html
雅弄冰川,https://you.ctrip.com/sight/basu120403/144198384.html
然乌洒列自驾露营地,https://you.ctrip.com/sight/basu120403/145193020.html
属都湖,https://you.ctrip.com/sight/shangrila106/12296.html
琼波热巴艺术广场,https://you.ctrip.com/sight/dengqen2447/4578303.html
甘孜稻城亚丁景区-仙乃日,https://you.ctrip.com/sight/daochengcounty342/62715.html
乃查姆玛尼堆,https://you.ctrip.com/sight/dengqen2447/150144772.html
扎西林寺,https://you.ctrip.com/sight/dengqen2447/144197170.html
布迦雪山,https://you.ctrip.com/sight/dengqen2447/153430354.html
洛绒牛场,https://you.ctrip.com/sight/daochengcounty342/18745.html
卓瓦隆寺,https://you.ctrip.com/sight/lhozhag120411/145110093.html
朗热塔波扎仓寺,https://you.ctrip.com/sight/gongga120408/143740154.html
土旦热麦寺,https://you.ctrip.com/sight/gongga120408/129077.html
飞来寺,https://you.ctrip.com/sight/deqin2178/75433.html
塔公草原,https://you.ctrip.com/sight/kangding344/14836.html
碧塔海景区,https://you.ctrip.com/sight/shangrila106/4212.html
白马雪山,https://you.ctrip.com/sight/deqin2178/4397.html
独克宗古城-龟山公园,https://you.ctrip.com/sight/shangrila106/128415.html
塔公寺,https://you.ctrip.com/sight/kangding344/77476.html
稻城亚丁风景区-冲古寺,https://you.ctrip.com/sight/daochengcounty342/18688.html
唐古拉山口,https://you.ctrip.com/sight/golmud332/51568.html
央迈勇,https://you.ctrip.com/sight/daochengcounty342/18703.html
五色海,https://you.ctrip.com/sight/daochengcounty342/62745.html
加木红柳湿地公园,https://you.ctrip.com/sight/garcounty120143/145680404.html
狮泉河烈士陵园,https://you.ctrip.com/sight/garcounty120143/145206574.html
阿里地区象雄广场,https://you.ctrip.com/sight/garcounty120143/145886111.html
狮泉河体育场,https://you.ctrip.com/sight/garcounty120143/144198328.html
长青春科尔寺,https://you.ctrip.com/sight/litang3150/144552640.html
雅鲁藏布江观景台,https://you.ctrip.com/sight/zhanang2451/130368465.html
明永冰川,https://you.ctrip.com/sight/deqin2178/75425.html
维色寺,https://you.ctrip.com/sight/markam2452/145524661.html
滇金丝猴国家公园,https://you.ctrip.com/sight/weixi1446265/137801.html
海子山国家级自然保护区,https://you.ctrip.com/sight/daochengcounty342/18695.html
卓玛拉措,https://you.ctrip.com/sight/daochengcounty342/43889.html
拉乌山洒咧营地,https://you.ctrip.com/sight/markam2452/145356386.html
香格里拉风景区,https://you.ctrip.com/sight/shangrila106/144195432.html
仓姑寺,https://you.ctrip.com/sight/lhasa36/73124.html
月光广场,https://you.ctrip.com/sight/shangrila106/1416716.html
红草地,https://you.ctrip.com/sight/daochengcounty342/50831.html
丙中洛风景区,https://you.ctrip.com/sight/gongshan1446282/21708.html
卡子拉山,https://you.ctrip.com/sight/litang3150/1713717.html
西藏羊八井国家地质公园,https://you.ctrip.com/sight/damxung2443/145516316.html
独俊大峡谷,https://you.ctrip.com/sight/lhari120389/144927395.html
达木寺,https://you.ctrip.com/sight/biru120390/5066935.html
洛堆峰,https://you.ctrip.com/sight/damxung2443/5719177.html
西藏美术馆,https://you.ctrip.com/sight/lhasa36/145397299.html
色林错,https://you.ctrip.com/sight/xainza120386/131917380.html
怒江大峡谷,https://you.ctrip.com/sight/fugong1446273/21705.html
大佛寺转经筒,https://you.ctrip.com/sight/shangrila106/1712902.html
小中甸花海,https://you.ctrip.com/sight/shangrila106/109891.html
兔儿山,https://you.ctrip.com/sight/litang3150/5067585.html
